molecule_chembl_id,canonical_smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,assay_chembl_id
CHEMBL1084787,c1ccc(-c2nnc(NCN3CCCCC3)s2)cc1,IC50,'=',54000.0,nM,4.27,CHEMBL1119333
CHEMBL1084788,c1ccc(-c2cnc(NCN3CCCCC3)nn2)cc1,IC50,'=',60000.0,nM,4.22,CHEMBL1119333
CHEMBL1082434,O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,IC50,'=',30.0,nM,7.52,CHEMBL1119333
CHEMBL1084790,Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,IC50,'=',12.0,nM,7.92,CHEMBL1119333
CHEMBL102142,Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,IC50,'=',77.0,nM,7.11,CHEMBL1119333
CHEMBL101809,CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,IC50,'=',230.0,nM,6.64,CHEMBL1119333
CHEMBL1085031,CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O)Cc1ccccc1,IC50,'=',6.0,nM,8.22,CHEMBL1119333
CHEMBL1083789,NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,IC50,'=',319.0,nM,6.5,CHEMBL1119333
CHEMBL1084530,c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,IC50,'=',83.0,nM,7.08,CHEMBL1119333
CHEMBL1082738,c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,IC50,'=',8.8,nM,8.06,CHEMBL1119333
CHEMBL118968,Nc1c2c(nc3ccccc13)CCCCCC2,IC50,'=',9100.0,nM,5.04,CHEMBL1119333
CHEMBL1083056,COc1cc2c(cc1OC)C(O)C(CC1CCN(c3ccccc3)CC1)C2,IC50,'=',300.0,nM,6.52,CHEMBL1119333
CHEMBL1086246,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(Cc3ccccc3)cc2)c1,IC50,'=',24.7,nM,7.61,CHEMBL1119333
CHEMBL124156,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(-c3ccccc3)cc2)c1,IC50,'=',54.6,nM,7.26,CHEMBL1119333
CHEMBL340427,CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,IC50,'=',0.3,nM,9.52,CHEMBL1119333
CHEMBL75305,c1cnc2nc3c(c(NCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,IC50,'=',4.8,nM,8.32,CHEMBL1119333
CHEMBL76173,c1cnc2nc3c(c(NCCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,IC50,'=',1.3,nM,8.89,CHEMBL1119333
CHEMBL76173,c1cnc2nc3c(c(NCCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,IC50,'=',1.3,nM,8.89,CHEMBL1119333
CHEMBL59977,Nc1c2c(nc3ccc([N+](=O)[O-])cc13)CCCC2,IC50,'=',3000.0,nM,5.52,CHEMBL1119333
CHEMBL61533,Nc1c2c(nc3cc(F)ccc13)CCCC2,IC50,'=',87.0,nM,7.06,CHEMBL1119333
CHEMBL61930,Nc1c2c(nc3cc(Cl)c(Cl)cc13)CCCC2,IC50,'=',470.0,nM,6.33,CHEMBL1119333
CHEMBL1085017,O=[N+]([O-])c1ccc2nc3c(c(Nc4ccccc4)c2c1)CCCC3,IC50,'=',1600.0,nM,5.8,CHEMBL1119333
CHEMBL59782,CCCCCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,IC50,'=',13.0,nM,7.89,CHEMBL1119333
CHEMBL61986,CCCCCCCNc1c2c(nc3cc(OC)ccc13)CCCC2,IC50,'=',460.0,nM,6.34,CHEMBL1119333
CHEMBL1085939,CNC(=O)Oc1cccc(CN(C)CCCCCCCOc2ccc3c(c2)OC/C(=C/c2cc(O)c(O)c(O)c2)C3=O)c1,IC50,'=',9.81,nM,8.01,CHEMBL1119333
