"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL148";"IMIPENEM ANHYDROUS";"4.0";"299.35";"0";"-0.18";"IPM";"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12";"MIC";"'='";"0.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL918742";"Antibacterial activity against Escherichia coli C600 expressing TEM2";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1142065";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2007";"None";"";"";"";"0.25"
"CHEMBL148";"IMIPENEM ANHYDROUS";"4.0";"299.35";"0";"-0.18";"IPM";"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12";"MIC";"'='";"0.25";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL918170";"Antibacterial activity against Escherichia coli C600";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1142065";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2007";"None";"";"";"";"0.25"
"CHEMBL5";"NALIDIXIC ACID";"4.0";"232.24";"0";"1.42";"Nalidixic acid";"CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21";"MIC";"'='";"256.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL916555";"Antimicrobial activity against Escherichia coli qnrA1 producing urinary specimen isolate 13.52 by agar dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"CHEMBL3638201";"Urine";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1146202";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2007";"None";"";"";"";"256.0"
"CHEMBL1163694";"";"None";"265.36";"0";"3.47";"4";"CCOC(=O)/C=C\Sc1nc2ccccc2s1";"MIC";"'>'";"128.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1167747";"Antibacterial activity against Escherichia coli ATCC 25922 after 18 to 24 hrs by microtiter plate method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1166008";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"128.0"
"CHEMBL1164148";"";"None";"249.29";"0";"2.75";"25";"CCOC(=O)/C=C\Oc1nc2ccccc2s1";"MIC";"'>'";"128.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1167747";"Antibacterial activity against Escherichia coli ATCC 25922 after 18 to 24 hrs by microtiter plate method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1166008";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"128.0"
"CHEMBL1163208";"";"None";"193.20";"0";"1.54";"26";"CCOC(=O)/C=C\Oc1cccnc1";"MIC";"'>'";"128.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1167747";"Antibacterial activity against Escherichia coli ATCC 25922 after 18 to 24 hrs by microtiter plate method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1166008";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"128.0"
"CHEMBL1812781";"";"None";"274.35";"0";"1.86";"4c";"Cc1ccc(NC(=S)NC(=O)c2cnn(C)c2)cc1";"MIC";"'>'";"1000.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3048670";"Antimicrobial activity against Escherichia coli 637/2007 by microdilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL3045554";"1";"Scientific Literature";"Med Chem Res";"2012";"None";"";"";"";"1000.0"
"CHEMBL2236075";"";"None";"274.35";"0";"1.86";"4a";"Cc1ccccc1NC(=S)NC(=O)c1cnn(C)c1";"MIC";"'>'";"1000.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL3048670";"Antimicrobial activity against Escherichia coli 637/2007 by microdilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL3045554";"1";"Scientific Literature";"Med Chem Res";"2012";"None";"";"";"";"1000.0"
"CHEMBL251721";"";"None";"244.21";"0";"0.10";"F-4";"Cn1c([N+](=O)[O-])cnc1C#Cc1ccnc(N)n1";"MIC";"'>'";"512.0";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL924114";"Antibacterial activity against Escherichia coli ATCC 25923";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1140489";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2007";"None";"";"";"";"512.0"
"CHEMBL148";"IMIPENEM ANHYDROUS";"4.0";"299.35";"0";"-0.18";"IMP";"C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12";"MIC";"'<='";"0.125";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL1261799";"Antibacterial activity against Escherichia coli EC600 by agar dilution method";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1255346";"1";"Scientific Literature";"Antimicrob Agents Chemother";"2008";"None";"";"";"";"0.125"
"CHEMBL369493";"";"None";"285.20";"None";"None";"2c 7";"CCCS(=O)(=O)N1C=Cc2cc(CC)sc2B1O";"MIC";"'='";"2.5";"ug.mL-1";"";"";"";"UO_0000274";"";"";"";"";"0";"CHEMBL859382";"Minimum inhibitory concentration of compound against Escherichia coli delta 120";"F";"BAO_0000218";"organism-based format";"Escherichia coli";"None";"None";"None";"None";"";"";"";"CHEMBL354";"Escherichia coli";"Escherichia coli";"ORGANISM";"CHEMBL1122708";"1";"Scientific Literature";"J Med Chem";"1984";"None";"";"";"";"2.5"
