molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id
CHEMBL3621433,Cc1ccc(N(CC#N)Cc2ccc(F)cc2F)cc1,MIC,'=',128.0,ug.mL-1,CHEMBL3625335
CHEMBL4450418,N#C[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],MIC,'<=',0.12,ug.mL-1,CHEMBL5247824
CHEMBL2236659,O=C(/C=C/c1c(Cl)cccc1Cl)c1ccc[nH]1,MIC,'=',15.6,ug.mL-1,CHEMBL3061488
CHEMBL4127175,OB(O)c1ccc(Cn2cc(-c3ccccn3)nn2)cc1,MIC,'<=',0.03,ug.mL-1,CHEMBL4123733
CHEMBL296800,COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1O,MIC,'>',125.0,ug.mL-1,CHEMBL682907
CHEMBL5414996,O=C(O)c1nccn1CCc1ccc([N+](=O)[O-])cc1,MIC,'=',8.0,ug.mL-1,CHEMBL5360869
CHEMBL575061,O=c1ccsn1-c1ccc(Cl)cc1,MIC,'=',10.0,ug.mL-1,CHEMBL1052821
CHEMBL5573576,O=C(Nc1ccccn1)c1ccc2c(c1)OCCCO2,MIC,'=',12.5,ug.mL-1,CHEMBL5529142
CHEMBL5416386,[C-]#[N+]c1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1,MIC,'>=',64000.0,nM,CHEMBL5355195
CHEMBL3275000,C=C(C)c1cnc([N+](=O)[O-])n1C,MIC,'>',100.0,ug.mL-1,CHEMBL3280883
CHEMBL1076935,CCOC(=O)C(O)Cc1nc2sccn2c1[N+](=O)[O-],MIC,,,,CHEMBL1106743
CHEMBL3809466,N[C@@H](CO)[C@@H](O)c1ccc([N+](=O)[O-])cc1,MIC,'=',100.0,nM,CHEMBL3821874
CHEMBL503112,CC1CCN(c2ncnc3c2ncn3C2CCCC2)CC1,MIC,'=',50.0,ug.mL-1,CHEMBL1033185
CHEMBL1788238,CCCCC[C@@H](C)COC(=O)c1ccncc1,MIC,'=',30.0,ug.mL-1,CHEMBL678776
CHEMBL268869,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,MIC,'>',160000.0,nM,CHEMBL2389464
CHEMBL1561375,CC1=C(C(=O)OC(C)C)C(c2cccs2)NC(S)=N1,MIC,'>',512.0,ug.mL-1,CHEMBL3049076
CHEMBL1689063,NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,MIC,'=',8.0,ug.mL-1,CHEMBL5259975
CHEMBL2297334,CO/N=C(/C/C=N/O)c1ccc(OC(C)C)cc1,MIC,'>',64.0,ug.mL-1,CHEMBL3074093
CHEMBL482813,CCc1ccc(S(C)(=O)=O)c2c1[nH]c1ccccc12,MIC,'>',60.0,ug,CHEMBL1013969
CHEMBL4204019,CCCCCCc1ccc(-c2cn(C(C)C)c(N)n2)cc1,MIC,'=',0.016,ug.mL-1,CHEMBL4179301
CHEMBL1689037,O=C(/C=C/c1ccccc1)c1ccco1,MIC,'=',10.0,ug.mL-1,CHEMBL3049081
CHEMBL478602,C=C1C(=O)OCC1C/C=C(\C)CC(=O)C=C(C)C,MIC,'=',101000.0,nM,CHEMBL967423
CHEMBL2334112,Cc1ccc(-n2nc3[nH]c(=N)c4ccccc4c3n2)cc1,MIC,'=',50.0,ug.mL-1,CHEMBL2344200
CHEMBL3357497,CC(C)=CCCC(C)CC1CC(=O)c2cc(O)ccc2O1,MIC,'=',3.13,ug.mL-1,CHEMBL3386988
CHEMBL3236790,C/C(NCCOc1ccccc1Cl)=C1/C(=O)CNC1=O,MIC,'>',32.0,ug.mL-1,CHEMBL3243795
CHEMBL4444662,Cc1ccc(CCn2ccn3cc([N+](=O)[O-])nc3c2=O)cc1,MIC,'>',32.0,ug.mL-1,CHEMBL4384239
CHEMBL3244611,C=CCOn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,MIC,'=',6.25,ug.mL-1,CHEMBL3257109
CHEMBL443,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,MIC,'=',2.4,ug.mL-1,CHEMBL1634998
CHEMBL2299418,CN(C)c1ccc(/C=C/C=O)cc1,MIC,,,,CHEMBL3074446
CHEMBL354349,C[n+]1c2cc(N)ccc2cc2ccc(N)cc21.[Cl-],MIC,'=',2.0,ug.mL-1,CHEMBL992267
CHEMBL40463,CC(C)[C@@H](C(=O)O)N1Cc2ccccc2C1=O,MIC,'=',1620.0,ug.mL-1,CHEMBL674541
CHEMBL1241451,NNc1nc2cc(Cl)c(Cl)cc2s1,MIC,'=',100.0,ug.mL-1,CHEMBL1246046
CHEMBL23393,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],MIC,'=',800.0,ug.mL-1,CHEMBL1679711
CHEMBL3221309,C=CCOc1ccc(OCc2ccccc2)cc1C(=O)NO,MIC,'=',800.0,ug.mL-1,CHEMBL3224627
CHEMBL77258,CCCCC(CC(=O)NO)S(=O)(=O)C1CCCCC1,MIC,'=',8.0,ug.mL-1,CHEMBL673745
CHEMBL203125,O=CN(O)CCCP(=O)(O)O,MIC,'=',12.5,ug.mL-1,CHEMBL1924992
CHEMBL446992,Cc1ccc(Cc2nc3cc([N+](=O)[O-])ccc3o2)cc1,MIC,'=',50.0,ug.mL-1,CHEMBL974323
CHEMBL148,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(SCCNC=N)C[C@H]12,MIC,'=',0.13,ug.mL-1,CHEMBL1654485
CHEMBL5,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,MIC,'=',64.0,ug.mL-1,CHEMBL1633447
CHEMBL3233038,O=C(O)[C@@H]1CCCc2c1[nH]c1ccc(Cl)cc21,MIC,'=',313000.0,nM,CHEMBL3239373
CHEMBL2238310,CC1C(=O)CC(C(C)(C)C)N(C(C)(C)C)C1C(C)(C)C,MIC,'>',512.0,ug.mL-1,CHEMBL3047095
CHEMBL1809130,CO[C@H]1CCCCCCCCC[C@@H](C)OC(=O)/C=C/C1=O,MIC,'>',64.0,ug.mL-1,CHEMBL1810776
