protein,replicate,temp_C,fluorescence
WT,1,20.0,16.266044008021705
WT,1,22.586206896551722,12.413286719729445
WT,1,25.17241379310345,15.946751406599494
WT,1,27.758620689655174,18.60154235718431
WT,1,30.344827586206897,18.847754849033475
WT,1,32.93103448275862,13.984372288900861
WT,1,35.51724137931035,17.977037510936032
WT,1,38.10344827586207,20.548824625492497
WT,1,40.689655172413794,22.34487530577345
WT,1,43.275862068965516,14.977215902380028
WT,1,45.86206896551724,14.487000514238321
WT,1,48.44827586206897,17.242848158181733
WT,1,51.03448275862069,8.295340858770084
WT,1,53.62068965517241,15.825466044281427
WT,1,56.20689655172414,100.80779380758625
WT,1,58.793103448275865,100.91606869068463
WT,1,61.37931034482759,97.54249656027926
WT,1,63.96551724137931,101.5574629222647
WT,1,66.55172413793103,99.96429038528665
WT,1,69.13793103448276,104.56656542082806
WT,1,71.72413793103448,99.53869179318541
WT,1,74.3103448275862,101.44708085616998
WT,1,76.89655172413794,101.59527247009848
WT,1,79.48275862068965,103.99683050942726
WT,1,82.06896551724138,94.65640244435546
WT,1,84.65517241379311,101.27224143806569
WT,1,87.24137931034483,104.57296169327472
WT,1,89.82758620689656,101.20905153377399
WT,1,92.41379310344828,97.71330534628987
WT,1,95.0,
WT,2,20.0,22.93823472299865
WT,2,22.586206896551722,27.17985392457172
WT,2,25.17241379310345,24.539628724525038
WT,2,27.758620689655174,24.20431124031124
WT,2,30.344827586206897,24.425978533970312
WT,2,32.93103448275862,19.52967456071906
WT,2,35.51724137931035,22.459487768527268
WT,2,38.10344827586207,20.75881122779657
WT,2,40.689655172413794,24.220389146384605
WT,2,43.275862068965516,21.996153798231155
WT,2,45.86206896551724,23.495970824942415
WT,2,48.44827586206897,23.396270499658904
WT,2,51.03448275862069,23.51903710041145
WT,2,53.62068965517241,23.58067426864773
WT,2,56.20689655172414,104.85164780550933
WT,2,58.793103448275865,103.78785009496916
WT,2,61.37931034482759,104.95678971698082
WT,2,63.96551724137931,110.16447366697282
WT,2,66.55172413793103,108.07234406443645
WT,2,69.13793103448276,108.71072472681793
WT,2,71.72413793103448,111.08976239395493
WT,2,74.3103448275862,103.41156584552239
WT,2,76.89655172413794,108.47971590948735
WT,2,79.48275862068965,103.72463632943365
WT,2,82.06896551724138,105.94686084844122
WT,2,84.65517241379311,108.40257817335386
WT,2,87.24137931034483,111.79289444645116
WT,2,89.82758620689656,104.60336381761633
WT,2,92.41379310344828,106.66546988426036
WT,2,95.0,110.41856905690663
WT,3,20.0,16.753807373839525
WT,3,22.586206896551722,13.63457772422565
WT,3,25.17241379310345,24.290727097586732
WT,3,27.758620689655174,14.282421650479009
WT,3,30.344827586206897,16.943930481419095
WT,3,32.93103448275862,17.395832624426728
WT,3,35.51724137931035,18.763460304231916
WT,3,38.10344827586207,17.40551151658697
WT,3,40.689655172413794,18.271131886597484
WT,3,43.275862068965516,18.686510859526543
WT,3,45.86206896551724,18.253997835999545
WT,3,48.44827586206897,18.79384864437854
WT,3,51.03448275862069,11.377250058866432
WT,3,53.62068965517241,19.840227533438593
WT,3,56.20689655172414,90.3125619967377
WT,3,58.793103448275865,88.036670176342
WT,3,61.37931034482759,98.68065042956208
WT,3,63.96551724137931,
WT,3,66.55172413793103,95.0762140279511
WT,3,69.13793103448276,92.21892224889383
WT,3,71.72413793103448,92.50120806247712
WT,3,74.3103448275862,95.98757101583494
WT,3,76.89655172413794,91.39193183251393
WT,3,79.48275862068965,95.65462953633342
WT,3,82.06896551724138,
WT,3,84.65517241379311,98.02995045189691
WT,3,87.24137931034483,93.5279670485973
WT,3,89.82758620689656,97.6763534701811
WT,3,92.41379310344828,99.69869083031466
WT,3,95.0,
WT,4,20.0,29.801591201873215
WT,4,22.586206896551722,27.870261852745063
WT,4,25.17241379310345,29.400366819023823
WT,4,27.758620689655174,31.78987554253709
WT,4,30.344827586206897,31.398817288539107
WT,4,32.93103448275862,25.719090128566002
WT,4,35.51724137931035,32.382890244315064
WT,4,38.10344827586207,28.664120261651906
WT,4,40.689655172413794,31.75163524908886
WT,4,43.275862068965516,27.213379301845546
WT,4,45.86206896551724,31.219409949046955
WT,4,48.44827586206897,26.916068437599336
WT,4,51.03448275862069,29.693914829626287
WT,4,53.62068965517241,28.497113342630257
WT,4,56.20689655172414,104.8825420710258
WT,4,58.793103448275865,104.23887932291314
WT,4,61.37931034482759,105.47790434641487
WT,4,63.96551724137931,100.71673756466562
WT,4,66.55172413793103,108.56844071537235
WT,4,69.13793103448276,108.82370139643326
WT,4,71.72413793103448,104.61032001662716
WT,4,74.3103448275862,101.79937775744429
WT,4,76.89655172413794,103.99851382570726
WT,4,79.48275862068965,108.78148462426172
