canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount
Cc1ccc(N(CC#N)Cc2ccc(F)cc2F)cc1,122191175.0,272.29,3.9,27.0,0.0,4.0,4.0,20.0
N#C[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],71535518.0,269.21,,122.0,0.0,6.0,2.0,17.0
O=C(/C=C/c1c(Cl)cccc1Cl)c1ccc[nH]1,76329794.0,266.12,4.1,32.9,1.0,1.0,3.0,17.0
OB(O)c1ccc(Cn2cc(-c3ccccn3)nn2)cc1,145960871.0,280.09,,84.1,2.0,5.0,4.0,21.0
COc1cc2oc(-c3ccccc3)cc(=O)c2c(O)c1O,471719.0,284.26,3.0,76.0,2.0,5.0,2.0,21.0
O=C(O)c1nccn1CCc1ccc([N+](=O)[O-])cc1,172452890.0,261.23,1.6,101.0,1.0,5.0,4.0,19.0
O=c1ccsn1-c1ccc(Cl)cc1,12368338.0,211.67,2.2,45.6,0.0,2.0,1.0,13.0
O=C(Nc1ccccn1)c1ccc2c(c1)OCCCO2,51251686.0,270.28,2.1,60.5,1.0,4.0,2.0,20.0
[C-]#[N+]c1ccc(NC(=O)Cc2c[nH]c3ccccc23)cc1,172451886.0,275.3,2.4,49.3,2.0,2.0,3.0,21.0
C=C(C)c1cnc([N+](=O)[O-])n1C,116559.0,167.17,1.3,63.6,0.0,3.0,1.0,12.0
CCOC(=O)C(O)Cc1nc2sccn2c1[N+](=O)[O-],45113661.0,285.28,2.0,138.0,1.0,7.0,5.0,19.0
N[C@@H](CO)[C@@H](O)c1ccc([N+](=O)[O-])cc1,224171.0,212.2,-0.7,112.0,3.0,5.0,3.0,15.0
CC1CCN(c2ncnc3c2ncn3C2CCCC2)CC1,44591065.0,285.39,3.0,46.8,0.0,4.0,2.0,21.0
CCCCC[C@@H](C)COC(=O)c1ccncc1,54582009.0,235.32,4.0,39.2,0.0,3.0,8.0,17.0
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,5330.0,280.31,0.3,116.0,2.0,7.0,4.0,19.0
CC1=C(C(=O)OC(C)C)C(c2cccs2)NC(S)=N1,5130381.0,296.4,2.1,111.0,2.0,4.0,4.0,19.0
NC(=O)[C@@H]1CC[C@@H]2CN1C(=O)N2OS(=O)(=O)O,9835049.0,265.25,-1.8,139.0,2.0,6.0,3.0,17.0
CO/N=C(/C/C=N/O)c1ccc(OC(C)C)cc1,76313200.0,250.29,2.8,63.4,1.0,5.0,6.0,18.0
