"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL1084787";"";"None";"274.39";"0";"3.06";"223";"c1ccc(-c2nnc(NCN3CCCCC3)s2)cc1";"IC50";"'='";"54000.0";"nM";"4.27";"";"";"UO_0000065";"15.55";"0.31";"1.21";"10.40";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"54000.0"
"CHEMBL1084788";"";"None";"269.35";"0";"2.39";"224";"c1ccc(-c2cnc(NCN3CCCCC3)nn2)cc1";"IC50";"'='";"60000.0";"nM";"4.22";"";"";"UO_0000065";"15.67";"0.29";"1.83";"7.83";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"60000.0"
"CHEMBL1082434";"";"None";"351.45";"0";"4.29";"228";"O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2";"IC50";"'='";"30.0";"nM";"7.52";"";"";"UO_0000065";"21.41";"0.40";"3.23";"19.40";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"30.0"
"CHEMBL1084790";"";"None";"361.49";"0";"4.75";"231";"Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"21.91";"0.40";"3.17";"16.17";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"12.0"
"CHEMBL102142";"";"None";"385.53";"0";"2.75";"234";"Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1";"IC50";"'='";"77.0";"nM";"7.11";"";"";"UO_0000065";"18.45";"0.36";"4.36";"13.27";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"77.0"
"CHEMBL101809";"";"None";"447.60";"0";"4.11";"239";"CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1";"IC50";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"14.83";"0.28";"2.53";"12.38";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"230.0"
"CHEMBL1085031";"";"None";"501.61";"1";"3.21";"242";"CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O)Cc1ccccc1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"16.39";"0.31";"5.01";"9.37";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"6.0"
"CHEMBL1083789";"";"None";"311.47";"0";"4.43";"256";"NCCCCCCCNc1c2c(nc3ccccc13)CCCC2";"IC50";"'='";"319.0";"nM";"6.50";"";"";"UO_0000065";"20.86";"0.39";"2.07";"12.75";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"319.0"
"CHEMBL1084530";"";"None";"416.61";"1";"6.76";"268";"c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3";"IC50";"'='";"83.0";"nM";"7.08";"";"";"UO_0000065";"17.00";"0.31";"0.32";"14.21";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"83.0"
"CHEMBL1082738";"";"None";"452.65";"1";"7.53";"272";"c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1";"IC50";"'='";"8.8";"nM";"8.06";"";"";"UO_0000065";"17.80";"0.32";"0.53";"16.16";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"8.8"
"CHEMBL118968";"";"None";"226.32";"0";"3.48";"276";"Nc1c2c(nc3ccccc13)CCCCCC2";"IC50";"'='";"9100.0";"nM";"5.04";"";"";"UO_0000065";"22.27";"0.40";"1.56";"12.96";"0";"CHEMBL1119333";"Inhibition of AChE";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL220";"Acetylcholinesterase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1155460";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"9100.0"
