canonical_smiles,CID,MolecularWeight,XLogP,TPSA,HBondDonorCount,HBondAcceptorCount,RotatableBondCount
c1ccc(-c2nnc(NCN3CCCCC3)s2)cc1,46889617,274.39,3.3,69.3,1,5,4
c1ccc(-c2cnc(NCN3CCCCC3)nn2)cc1,46889618,269.34,2.2,53.9,1,5,4
O=C(CCC1CCN(Cc2ccccc2)CC1)c1ccc2c(c1)OCO2,46889660,351.4,4.0,38.8,0,4,6
Cc1nc2cc(C(=O)CCC3CCN(Cc4ccccc4)CC3)ccc2[nH]1,10292083,361.5,4.1,49.0,1,3,6
Cc1ccc(C(=O)NC(=S)NCCOCCN(C)Cc2ccccc2)cc1,10091498,385.5,3.7,85.7,2,4,9
CN(CCOCCNC(=S)NC(=O)c1ccc(-c2ccccc2)cc1)Cc1ccccc1,10321405,447.6,5.0,85.7,2,4,10
CN(CCOCCNC(=S)NC(=O)c1ccc2c(c1)C(=O)c1ccccc1C2=O)Cc1ccccc1,10255470,501.6,4.3,120.0,2,6,9
NCCCCCCCNc1c2c(nc3ccccc13)CCCC2,10662852,311.5,4.4,50.9,2,3,8
c1ccc2c(NCCCCCCCCCNc3ccncc3)c3c(nc2c1)CCCC3,10598017,416.6,7.0,49.8,2,4,12
c1ccc2c(NCCCCCCCCNc3c4c(nc5ccccc35)CCCC4)ccnc2c1,656986,452.6,7.9,49.8,2,4,11
Nc1c2c(nc3ccccc13)CCCCCC2,402662,226.32,3.8,38.9,1,2,0
COc1cc2c(cc1OC)C(O)C(CC1CCN(c3ccccc3)CC1)C2,46889434,367.5,4.2,41.9,1,4,5
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(Cc3ccccc3)cc2)c1,46889620,418.5,5.3,50.8,1,4,11
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc(-c3ccccc3)cc2)c1,10927599,404.5,5.0,50.8,1,4,10
CNC(=O)Oc1cccc(CN(C)CCCOc2ccc3c(=O)c4ccccc4oc3c2)c1,10765787,446.5,4.4,77.1,1,6,9
c1cnc2nc3c(c(NCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,23644778,480.6,6.5,75.6,2,6,9
c1cnc2nc3c(c(NCCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,23644779,494.7,7.1,75.6,2,6,10
c1cnc2nc3c(c(NCCCCCCCNc4c5c(nc6ncccc46)CCCC5)c2c1)CCCC3,23644779,494.7,7.1,75.6,2,6,10
